"id","lotshape","moderately_irregular","slightly_irregular","regular","irregular"
1,"Regular",0,0,1,0
2,"Regular",0,0,1,0
3,"Slightly irregular",0,1,0,0
4,"Slightly irregular",0,1,0,0
5,"Slightly irregular",0,1,0,0
6,"Slightly irregular",0,1,0,0
7,"Regular",0,0,1,0
8,"Slightly irregular",0,1,0,0
9,"Regular",0,0,1,0
10,"Regular",0,0,1,0
11,"Regular",0,0,1,0
12,"Slightly irregular",0,1,0,0
13,"Moderately Irregular",1,0,0,0
14,"Slightly irregular",0,1,0,0
15,"Slightly irregular",0,1,0,0
16,"Regular",0,0,1,0
17,"Slightly irregular",0,1,0,0
18,"Regular",0,0,1,0
19,"Regular",0,0,1,0
20,"Regular",0,0,1,0
21,"Slightly irregular",0,1,0,0
22,"Regular",0,0,1,0
23,"Regular",0,0,1,0
24,"Regular",0,0,1,0
25,"Slightly irregular",0,1,0,0
26,"Regular",0,0,1,0
27,"Regular",0,0,1,0
28,"Regular",0,0,1,0
29,"Slightly irregular",0,1,0,0
30,"Slightly irregular",0,1,0,0
31,"Regular",0,0,1,0
32,"Slightly irregular",0,1,0,0
33,"Regular",0,0,1,0
34,"Slightly irregular",0,1,0,0
35,"Regular",0,0,1,0
36,"Regular",0,0,1,0
37,"Regular",0,0,1,0
38,"Regular",0,0,1,0
39,"Regular",0,0,1,0
40,"Regular",0,0,1,0
41,"Regular",0,0,1,0
42,"Regular",0,0,1,0
43,"Slightly irregular",0,1,0,0
44,"Slightly irregular",0,1,0,0
45,"Regular",0,0,1,0
46,"Regular",0,0,1,0
47,"Slightly irregular",0,1,0,0
48,"Regular",0,0,1,0
49,"Regular",0,0,1,0
50,"Regular",0,0,1,0
51,"Moderately Irregular",1,0,0,0
52,"Regular",0,0,1,0
53,"Moderately Irregular",1,0,0,0
54,"Slightly irregular",0,1,0,0
55,"Regular",0,0,1,0
56,"Slightly irregular",0,1,0,0
57,"Regular",0,0,1,0
58,"Slightly irregular",0,1,0,0
59,"Moderately Irregular",1,0,0,0
60,"Regular",0,0,1,0
61,"Regular",0,0,1,0
62,"Regular",0,0,1,0
63,"Slightly irregular",0,1,0,0
64,"Slightly irregular",0,1,0,0
65,"Regular",0,0,1,0
66,"Regular",0,0,1,0
67,"Regular",0,0,1,0
68,"Slightly irregular",0,1,0,0
69,"Regular",0,0,1,0
70,"Regular",0,0,1,0
71,"Slightly irregular",0,1,0,0
72,"Regular",0,0,1,0
73,"Slightly irregular",0,1,0,0
74,"Regular",0,0,1,0
75,"Regular",0,0,1,0
76,"Regular",0,0,1,0
77,"Slightly irregular",0,1,0,0
78,"Regular",0,0,1,0
79,"Regular",0,0,1,0
80,"Regular",0,0,1,0
81,"Regular",0,0,1,0
82,"Regular",0,0,1,0
83,"Regular",0,0,1,0
84,"Slightly irregular",0,1,0,0
85,"Slightly irregular",0,1,0,0
86,"Regular",0,0,1,0
87,"Moderately Irregular",1,0,0,0
88,"Regular",0,0,1,0
89,"Slightly irregular",0,1,0,0
90,"Regular",0,0,1,0
91,"Regular",0,0,1,0
92,"Regular",0,0,1,0
93,"Slightly irregular",0,1,0,0
94,"Regular",0,0,1,0
95,"Slightly irregular",0,1,0,0
96,"Moderately Irregular",1,0,0,0
97,"Slightly irregular",0,1,0,0
98,"Regular",0,0,1,0
99,"Regular",0,0,1,0
100,"Slightly irregular",0,1,0,0
101,"Slightly irregular",0,1,0,0
102,"Regular",0,0,1,0
103,"Regular",0,0,1,0
104,"Slightly irregular",0,1,0,0
105,"Regular",0,0,1,0
106,"Regular",0,0,1,0
107,"Regular",0,0,1,0
108,"Regular",0,0,1,0
109,"Regular",0,0,1,0
110,"Slightly irregular",0,1,0,0
111,"Regular",0,0,1,0
112,"Slightly irregular",0,1,0,0
113,"Regular",0,0,1,0
114,"Regular",0,0,1,0
115,"Slightly irregular",0,1,0,0
116,"Regular",0,0,1,0
117,"Regular",0,0,1,0
118,"Regular",0,0,1,0
119,"Regular",0,0,1,0
120,"Regular",0,0,1,0
121,"Slightly irregular",0,1,0,0
122,"Regular",0,0,1,0
123,"Regular",0,0,1,0
124,"Regular",0,0,1,0
125,"Slightly irregular",0,1,0,0
126,"Regular",0,0,1,0
127,"Slightly irregular",0,1,0,0
128,"Slightly irregular",0,1,0,0
129,"Regular",0,0,1,0
130,"Regular",0,0,1,0
131,"Regular",0,0,1,0
132,"Slightly irregular",0,1,0,0
133,"Regular",0,0,1,0
134,"Slightly irregular",0,1,0,0
135,"Slightly irregular",0,1,0,0
136,"Regular",0,0,1,0
137,"Slightly irregular",0,1,0,0
138,"Regular",0,0,1,0
139,"Slightly irregular",0,1,0,0
140,"Slightly irregular",0,1,0,0
141,"Regular",0,0,1,0
142,"Regular",0,0,1,0
143,"Regular",0,0,1,0
144,"Slightly irregular",0,1,0,0
145,"Regular",0,0,1,0
146,"Regular",0,0,1,0
147,"Regular",0,0,1,0
148,"Slightly irregular",0,1,0,0
149,"Regular",0,0,1,0
150,"Regular",0,0,1,0
151,"Regular",0,0,1,0
152,"Regular",0,0,1,0
153,"Slightly irregular",0,1,0,0
154,"Regular",0,0,1,0
155,"Regular",0,0,1,0
156,"Regular",0,0,1,0
157,"Regular",0,0,1,0
158,"Regular",0,0,1,0
159,"Regular",0,0,1,0
160,"Slightly irregular",0,1,0,0
161,"Slightly irregular",0,1,0,0
162,"Slightly irregular",0,1,0,0
163,"Regular",0,0,1,0
164,"Regular",0,0,1,0
165,"Regular",0,0,1,0
166,"Regular",0,0,1,0
167,"Slightly irregular",0,1,0,0
168,"Regular",0,0,1,0
169,"Slightly irregular",0,1,0,0
170,"Slightly irregular",0,1,0,0
171,"Slightly irregular",0,1,0,0
172,"Slightly irregular",0,1,0,0
173,"Slightly irregular",0,1,0,0
174,"Slightly irregular",0,1,0,0
175,"Slightly irregular",0,1,0,0
176,"Regular",0,0,1,0
177,"Slightly irregular",0,1,0,0
178,"Regular",0,0,1,0
179,"Slightly irregular",0,1,0,0
180,"Regular",0,0,1,0
181,"Regular",0,0,1,0
182,"Regular",0,0,1,0
183,"Regular",0,0,1,0
184,"Regular",0,0,1,0
185,"Slightly irregular",0,1,0,0
186,"Moderately Irregular",1,0,0,0
187,"Slightly irregular",0,1,0,0
188,"Regular",0,0,1,0
189,"Regular",0,0,1,0
190,"Regular",0,0,1,0
191,"Regular",0,0,1,0
192,"Slightly irregular",0,1,0,0
193,"Slightly irregular",0,1,0,0
194,"Regular",0,0,1,0
195,"Slightly irregular",0,1,0,0
196,"Regular",0,0,1,0
197,"Regular",0,0,1,0
198,"Regular",0,0,1,0
199,"Regular",0,0,1,0
200,"Regular",0,0,1,0
201,"Regular",0,0,1,0
202,"Regular",0,0,1,0
203,"Regular",0,0,1,0
204,"Regular",0,0,1,0
205,"Regular",0,0,1,0
206,"Regular",0,0,1,0
207,"Slightly irregular",0,1,0,0
208,"Slightly irregular",0,1,0,0
209,"Slightly irregular",0,1,0,0
210,"Regular",0,0,1,0
211,"Regular",0,0,1,0
212,"Regular",0,0,1,0
213,"Regular",0,0,1,0
214,"Moderately Irregular",1,0,0,0
215,"Slightly irregular",0,1,0,0
216,"Slightly irregular",0,1,0,0
217,"Regular",0,0,1,0
218,"Regular",0,0,1,0
219,"Slightly irregular",0,1,0,0
220,"Regular",0,0,1,0
221,"Slightly irregular",0,1,0,0
222,"Slightly irregular",0,1,0,0
223,"Regular",0,0,1,0
224,"Regular",0,0,1,0
225,"Regular",0,0,1,0
226,"Regular",0,0,1,0
227,"Slightly irregular",0,1,0,0
228,"Regular",0,0,1,0
229,"Regular",0,0,1,0
230,"Regular",0,0,1,0
231,"Regular",0,0,1,0
232,"Slightly irregular",0,1,0,0
233,"Regular",0,0,1,0
234,"Regular",0,0,1,0
235,"Regular",0,0,1,0
236,"Regular",0,0,1,0
237,"Regular",0,0,1,0
238,"Slightly irregular",0,1,0,0
239,"Regular",0,0,1,0
240,"Regular",0,0,1,0
241,"Regular",0,0,1,0
242,"Regular",0,0,1,0
243,"Regular",0,0,1,0
244,"Regular",0,0,1,0
245,"Slightly irregular",0,1,0,0
246,"Regular",0,0,1,0
247,"Regular",0,0,1,0
248,"Regular",0,0,1,0
249,"Regular",0,0,1,0
250,"Moderately Irregular",1,0,0,0
251,"Slightly irregular",0,1,0,0
252,"Slightly irregular",0,1,0,0
253,"Slightly irregular",0,1,0,0
254,"Regular",0,0,1,0
255,"Regular",0,0,1,0
256,"Slightly irregular",0,1,0,0
257,"Slightly irregular",0,1,0,0
258,"Regular",0,0,1,0
259,"Regular",0,0,1,0
260,"Regular",0,0,1,0
261,"Regular",0,0,1,0
262,"Slightly irregular",0,1,0,0
263,"Slightly irregular",0,1,0,0
264,"Regular",0,0,1,0
265,"Irregular",0,0,0,1
266,"Slightly irregular",0,1,0,0
267,"Slightly irregular",0,1,0,0
268,"Regular",0,0,1,0
269,"Regular",0,0,1,0
270,"Slightly irregular",0,1,0,0
271,"Regular",0,0,1,0
272,"Slightly irregular",0,1,0,0
273,"Slightly irregular",0,1,0,0
274,"Regular",0,0,1,0
275,"Regular",0,0,1,0
276,"Regular",0,0,1,0
277,"Slightly irregular",0,1,0,0
278,"Regular",0,0,1,0
279,"Regular",0,0,1,0
280,"Regular",0,0,1,0
281,"Regular",0,0,1,0
282,"Regular",0,0,1,0
283,"Regular",0,0,1,0
284,"Regular",0,0,1,0
285,"Regular",0,0,1,0
286,"Slightly irregular",0,1,0,0
287,"Slightly irregular",0,1,0,0
288,"Slightly irregular",0,1,0,0
289,"Slightly irregular",0,1,0,0
290,"Regular",0,0,1,0
291,"Regular",0,0,1,0
292,"Regular",0,0,1,0
293,"Regular",0,0,1,0
294,"Slightly irregular",0,1,0,0
295,"Regular",0,0,1,0
296,"Slightly irregular",0,1,0,0
297,"Regular",0,0,1,0
298,"Slightly irregular",0,1,0,0
299,"Regular",0,0,1,0
300,"Regular",0,0,1,0
301,"Regular",0,0,1,0
302,"Irregular",0,0,0,1
303,"Slightly irregular",0,1,0,0
304,"Regular",0,0,1,0
305,"Regular",0,0,1,0
306,"Regular",0,0,1,0
307,"Regular",0,0,1,0
308,"Slightly irregular",0,1,0,0
309,"Slightly irregular",0,1,0,0
310,"Slightly irregular",0,1,0,0
311,"Slightly irregular",0,1,0,0
312,"Regular",0,0,1,0
313,"Regular",0,0,1,0
314,"Irregular",0,0,0,1
315,"Regular",0,0,1,0
316,"Slightly irregular",0,1,0,0
317,"Slightly irregular",0,1,0,0
318,"Regular",0,0,1,0
319,"Regular",0,0,1,0
320,"Regular",0,0,1,0
321,"Regular",0,0,1,0
322,"Slightly irregular",0,1,0,0
323,"Slightly irregular",0,1,0,0
324,"Regular",0,0,1,0
325,"Regular",0,0,1,0
326,"Regular",0,0,1,0
327,"Slightly irregular",0,1,0,0
328,"Regular",0,0,1,0
329,"Slightly irregular",0,1,0,0
330,"Regular",0,0,1,0
331,"Slightly irregular",0,1,0,0
332,"Regular",0,0,1,0
333,"Slightly irregular",0,1,0,0
334,"Regular",0,0,1,0
335,"Slightly irregular",0,1,0,0
336,"Slightly irregular",0,1,0,0
337,"Slightly irregular",0,1,0,0
338,"Regular",0,0,1,0
339,"Regular",0,0,1,0
340,"Slightly irregular",0,1,0,0
341,"Regular",0,0,1,0
342,"Regular",0,0,1,0
343,"Regular",0,0,1,0
344,"Slightly irregular",0,1,0,0
345,"Regular",0,0,1,0
346,"Regular",0,0,1,0
347,"Slightly irregular",0,1,0,0
348,"Slightly irregular",0,1,0,0
349,"Regular",0,0,1,0
350,"Moderately Irregular",1,0,0,0
351,"Slightly irregular",0,1,0,0
352,"Slightly irregular",0,1,0,0
353,"Regular",0,0,1,0
354,"Regular",0,0,1,0
355,"Regular",0,0,1,0
356,"Moderately Irregular",1,0,0,0
357,"Slightly irregular",0,1,0,0
358,"Regular",0,0,1,0
359,"Slightly irregular",0,1,0,0
360,"Slightly irregular",0,1,0,0
361,"Slightly irregular",0,1,0,0
362,"Regular",0,0,1,0
363,"Regular",0,0,1,0
364,"Regular",0,0,1,0
365,"Slightly irregular",0,1,0,0
366,"Regular",0,0,1,0
367,"Slightly irregular",0,1,0,0
368,"Slightly irregular",0,1,0,0
369,"Regular",0,0,1,0
370,"Slightly irregular",0,1,0,0
371,"Slightly irregular",0,1,0,0
372,"Regular",0,0,1,0
373,"Regular",0,0,1,0
374,"Regular",0,0,1,0
375,"Regular",0,0,1,0
376,"Slightly irregular",0,1,0,0
377,"Slightly irregular",0,1,0,0
378,"Slightly irregular",0,1,0,0
379,"Regular",0,0,1,0
380,"Slightly irregular",0,1,0,0
381,"Regular",0,0,1,0
382,"Regular",0,0,1,0
383,"Slightly irregular",0,1,0,0
384,"Regular",0,0,1,0
385,"Moderately Irregular",1,0,0,0
386,"Regular",0,0,1,0
387,"Regular",0,0,1,0
388,"Regular",0,0,1,0
389,"Slightly irregular",0,1,0,0
390,"Regular",0,0,1,0
391,"Regular",0,0,1,0
392,"Slightly irregular",0,1,0,0
393,"Slightly irregular",0,1,0,0
394,"Regular",0,0,1,0
395,"Regular",0,0,1,0
396,"Regular",0,0,1,0
397,"Regular",0,0,1,0
398,"Regular",0,0,1,0
399,"Regular",0,0,1,0
400,"Regular",0,0,1,0
401,"Moderately Irregular",1,0,0,0
402,"Slightly irregular",0,1,0,0
403,"Regular",0,0,1,0
404,"Regular",0,0,1,0
405,"Slightly irregular",0,1,0,0
406,"Slightly irregular",0,1,0,0
407,"Regular",0,0,1,0
408,"Regular",0,0,1,0
409,"Regular",0,0,1,0
410,"Regular",0,0,1,0
411,"Regular",0,0,1,0
412,"Regular",0,0,1,0
413,"Moderately Irregular",1,0,0,0
414,"Regular",0,0,1,0
415,"Moderately Irregular",1,0,0,0
416,"Slightly irregular",0,1,0,0
417,"Regular",0,0,1,0
418,"Slightly irregular",0,1,0,0
419,"Regular",0,0,1,0
420,"Regular",0,0,1,0
421,"Regular",0,0,1,0
422,"Slightly irregular",0,1,0,0
423,"Regular",0,0,1,0
424,"Regular",0,0,1,0
425,"Regular",0,0,1,0
426,"Regular",0,0,1,0
427,"Regular",0,0,1,0
428,"Slightly irregular",0,1,0,0
429,"Regular",0,0,1,0
430,"Slightly irregular",0,1,0,0
431,"Regular",0,0,1,0
432,"Slightly irregular",0,1,0,0
433,"Regular",0,0,1,0
434,"Slightly irregular",0,1,0,0
435,"Regular",0,0,1,0
436,"Moderately Irregular",1,0,0,0
437,"Regular",0,0,1,0
438,"Regular",0,0,1,0
439,"Regular",0,0,1,0
440,"Regular",0,0,1,0
441,"Regular",0,0,1,0
442,"Regular",0,0,1,0
443,"Regular",0,0,1,0
444,"Regular",0,0,1,0
445,"Regular",0,0,1,0
446,"Regular",0,0,1,0
447,"Slightly irregular",0,1,0,0
448,"Slightly irregular",0,1,0,0
449,"Regular",0,0,1,0
450,"Regular",0,0,1,0
451,"Regular",0,0,1,0
452,"Slightly irregular",0,1,0,0
453,"Slightly irregular",0,1,0,0
454,"Regular",0,0,1,0
455,"Regular",0,0,1,0
456,"Regular",0,0,1,0
457,"Regular",0,0,1,0
458,"Slightly irregular",0,1,0,0
459,"Regular",0,0,1,0
460,"Slightly irregular",0,1,0,0
461,"Slightly irregular",0,1,0,0
462,"Regular",0,0,1,0
463,"Slightly irregular",0,1,0,0
464,"Slightly irregular",0,1,0,0
465,"Regular",0,0,1,0
466,"Regular",0,0,1,0
467,"Regular",0,0,1,0
468,"Regular",0,0,1,0
469,"Slightly irregular",0,1,0,0
470,"Slightly irregular",0,1,0,0
471,"Slightly irregular",0,1,0,0
472,"Regular",0,0,1,0
473,"Regular",0,0,1,0
474,"Slightly irregular",0,1,0,0
475,"Regular",0,0,1,0
476,"Regular",0,0,1,0
477,"Regular",0,0,1,0
478,"Regular",0,0,1,0
479,"Regular",0,0,1,0
480,"Regular",0,0,1,0
481,"Slightly irregular",0,1,0,0
482,"Slightly irregular",0,1,0,0
483,"Regular",0,0,1,0
484,"Regular",0,0,1,0
485,"Slightly irregular",0,1,0,0
486,"Regular",0,0,1,0
487,"Regular",0,0,1,0
488,"Slightly irregular",0,1,0,0
489,"Regular",0,0,1,0
490,"Regular",0,0,1,0
491,"Regular",0,0,1,0
492,"Regular",0,0,1,0
493,"Slightly irregular",0,1,0,0
494,"Regular",0,0,1,0
495,"Regular",0,0,1,0
496,"Regular",0,0,1,0
497,"Slightly irregular",0,1,0,0
498,"Regular",0,0,1,0
499,"Regular",0,0,1,0
500,"Slightly irregular",0,1,0,0
501,"Regular",0,0,1,0
502,"Regular",0,0,1,0
503,"Regular",0,0,1,0
504,"Slightly irregular",0,1,0,0
505,"Regular",0,0,1,0
506,"Regular",0,0,1,0
507,"Slightly irregular",0,1,0,0
508,"Slightly irregular",0,1,0,0
509,"Regular",0,0,1,0
510,"Regular",0,0,1,0
511,"Regular",0,0,1,0
512,"Slightly irregular",0,1,0,0
513,"Regular",0,0,1,0
514,"Regular",0,0,1,0
515,"Regular",0,0,1,0
516,"Regular",0,0,1,0
517,"Slightly irregular",0,1,0,0
518,"Slightly irregular",0,1,0,0
519,"Slightly irregular",0,1,0,0
520,"Regular",0,0,1,0
521,"Regular",0,0,1,0
522,"Slightly irregular",0,1,0,0
523,"Regular",0,0,1,0
524,"Slightly irregular",0,1,0,0
525,"Slightly irregular",0,1,0,0
526,"Regular",0,0,1,0
527,"Regular",0,0,1,0
528,"Slightly irregular",0,1,0,0
529,"Slightly irregular",0,1,0,0
530,"Slightly irregular",0,1,0,0
531,"Regular",0,0,1,0
532,"Slightly irregular",0,1,0,0
533,"Regular",0,0,1,0
534,"Regular",0,0,1,0
535,"Slightly irregular",0,1,0,0
536,"Regular",0,0,1,0
537,"Slightly irregular",0,1,0,0
538,"Slightly irregular",0,1,0,0
539,"Slightly irregular",0,1,0,0
540,"Regular",0,0,1,0
541,"Regular",0,0,1,0
542,"Regular",0,0,1,0
543,"Regular",0,0,1,0
544,"Regular",0,0,1,0
545,"Slightly irregular",0,1,0,0
546,"Slightly irregular",0,1,0,0
547,"Slightly irregular",0,1,0,0
548,"Regular",0,0,1,0
549,"Slightly irregular",0,1,0,0
550,"Regular",0,0,1,0
551,"Regular",0,0,1,0
552,"Regular",0,0,1,0
553,"Slightly irregular",0,1,0,0
554,"Regular",0,0,1,0
555,"Regular",0,0,1,0
556,"Regular",0,0,1,0
557,"Slightly irregular",0,1,0,0
558,"Regular",0,0,1,0
559,"Moderately Irregular",1,0,0,0
560,"Regular",0,0,1,0
561,"Slightly irregular",0,1,0,0
562,"Regular",0,0,1,0
563,"Regular",0,0,1,0
564,"Regular",0,0,1,0
565,"Slightly irregular",0,1,0,0
566,"Regular",0,0,1,0
567,"Slightly irregular",0,1,0,0
568,"Slightly irregular",0,1,0,0
569,"Slightly irregular",0,1,0,0
570,"Slightly irregular",0,1,0,0
571,"Slightly irregular",0,1,0,0
572,"Regular",0,0,1,0
573,"Slightly irregular",0,1,0,0
574,"Slightly irregular",0,1,0,0
575,"Regular",0,0,1,0
576,"Regular",0,0,1,0
577,"Regular",0,0,1,0
578,"Slightly irregular",0,1,0,0
579,"Regular",0,0,1,0
580,"Regular",0,0,1,0
581,"Slightly irregular",0,1,0,0
582,"Regular",0,0,1,0
583,"Regular",0,0,1,0
584,"Regular",0,0,1,0
585,"Regular",0,0,1,0
586,"Regular",0,0,1,0
587,"Regular",0,0,1,0
588,"Slightly irregular",0,1,0,0
589,"Slightly irregular",0,1,0,0
590,"Regular",0,0,1,0
591,"Regular",0,0,1,0
592,"Slightly irregular",0,1,0,0
593,"Regular",0,0,1,0
594,"Regular",0,0,1,0
595,"Slightly irregular",0,1,0,0
596,"Slightly irregular",0,1,0,0
597,"Regular",0,0,1,0
598,"Regular",0,0,1,0
599,"Regular",0,0,1,0
600,"Regular",0,0,1,0
601,"Regular",0,0,1,0
602,"Regular",0,0,1,0
603,"Slightly irregular",0,1,0,0
604,"Regular",0,0,1,0
605,"Slightly irregular",0,1,0,0
606,"Regular",0,0,1,0
607,"Moderately Irregular",1,0,0,0
608,"Regular",0,0,1,0
609,"Regular",0,0,1,0
610,"Regular",0,0,1,0
611,"Regular",0,0,1,0
612,"Slightly irregular",0,1,0,0
613,"Regular",0,0,1,0
614,"Regular",0,0,1,0
615,"Regular",0,0,1,0
616,"Regular",0,0,1,0
617,"Slightly irregular",0,1,0,0
618,"Regular",0,0,1,0
619,"Regular",0,0,1,0
620,"Regular",0,0,1,0
621,"Regular",0,0,1,0
622,"Regular",0,0,1,0
623,"Regular",0,0,1,0
624,"Regular",0,0,1,0
625,"Regular",0,0,1,0
626,"Slightly irregular",0,1,0,0
627,"Slightly irregular",0,1,0,0
628,"Regular",0,0,1,0
629,"Slightly irregular",0,1,0,0
630,"Regular",0,0,1,0
631,"Regular",0,0,1,0
632,"Regular",0,0,1,0
633,"Regular",0,0,1,0
634,"Regular",0,0,1,0
635,"Regular",0,0,1,0
636,"Regular",0,0,1,0
637,"Regular",0,0,1,0
638,"Regular",0,0,1,0
639,"Regular",0,0,1,0
640,"Regular",0,0,1,0
641,"Slightly irregular",0,1,0,0
642,"Regular",0,0,1,0
643,"Regular",0,0,1,0
644,"Regular",0,0,1,0
645,"Regular",0,0,1,0
646,"Slightly irregular",0,1,0,0
647,"Regular",0,0,1,0
648,"Slightly irregular",0,1,0,0
649,"Regular",0,0,1,0
650,"Regular",0,0,1,0
651,"Regular",0,0,1,0
652,"Regular",0,0,1,0
653,"Regular",0,0,1,0
654,"Regular",0,0,1,0
655,"Slightly irregular",0,1,0,0
656,"Regular",0,0,1,0
657,"Slightly irregular",0,1,0,0
658,"Regular",0,0,1,0
659,"Regular",0,0,1,0
660,"Regular",0,0,1,0
661,"Regular",0,0,1,0
662,"Moderately Irregular",1,0,0,0
663,"Regular",0,0,1,0
664,"Regular",0,0,1,0
665,"Moderately Irregular",1,0,0,0
666,"Slightly irregular",0,1,0,0
667,"Slightly irregular",0,1,0,0
668,"Regular",0,0,1,0
669,"Regular",0,0,1,0
670,"Regular",0,0,1,0
671,"Regular",0,0,1,0
672,"Regular",0,0,1,0
673,"Slightly irregular",0,1,0,0
674,"Regular",0,0,1,0
675,"Regular",0,0,1,0
676,"Regular",0,0,1,0
677,"Regular",0,0,1,0
678,"Regular",0,0,1,0
679,"Slightly irregular",0,1,0,0
680,"Slightly irregular",0,1,0,0
681,"Regular",0,0,1,0
682,"Moderately Irregular",1,0,0,0
683,"Regular",0,0,1,0
684,"Slightly irregular",0,1,0,0
685,"Moderately Irregular",1,0,0,0
686,"Slightly irregular",0,1,0,0
687,"Regular",0,0,1,0
688,"Moderately Irregular",1,0,0,0
689,"Regular",0,0,1,0
690,"Slightly irregular",0,1,0,0
691,"Regular",0,0,1,0
692,"Slightly irregular",0,1,0,0
693,"Slightly irregular",0,1,0,0
694,"Regular",0,0,1,0
695,"Regular",0,0,1,0
696,"Slightly irregular",0,1,0,0
697,"Regular",0,0,1,0
698,"Slightly irregular",0,1,0,0
699,"Regular",0,0,1,0
700,"Moderately Irregular",1,0,0,0
701,"Regular",0,0,1,0
702,"Regular",0,0,1,0
703,"Slightly irregular",0,1,0,0
704,"Regular",0,0,1,0
705,"Regular",0,0,1,0
706,"Regular",0,0,1,0
707,"Moderately Irregular",1,0,0,0
708,"Regular",0,0,1,0
709,"Slightly irregular",0,1,0,0
710,"Slightly irregular",0,1,0,0
711,"Slightly irregular",0,1,0,0
712,"Regular",0,0,1,0
713,"Slightly irregular",0,1,0,0
714,"Regular",0,0,1,0
715,"Slightly irregular",0,1,0,0
716,"Regular",0,0,1,0
717,"Regular",0,0,1,0
718,"Regular",0,0,1,0
719,"Regular",0,0,1,0
720,"Slightly irregular",0,1,0,0
721,"Slightly irregular",0,1,0,0
722,"Regular",0,0,1,0
723,"Regular",0,0,1,0
724,"Regular",0,0,1,0
725,"Slightly irregular",0,1,0,0
726,"Regular",0,0,1,0
727,"Slightly irregular",0,1,0,0
728,"Regular",0,0,1,0
729,"Regular",0,0,1,0
730,"Regular",0,0,1,0
731,"Slightly irregular",0,1,0,0
732,"Slightly irregular",0,1,0,0
733,"Slightly irregular",0,1,0,0
734,"Regular",0,0,1,0
